,DEPT,GRTO,GRKT,GRTH,GKUT,POTA,URAN,THOR,MSFL,LLS,LLD,GR,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPHI,XPHI,NPHI,NDSN,FDSN,TENS,MDT,SPHI,ITTT,DXDT,DYDT
20600,10500.0,93.3874,56.3651,28.3029,99.0014,2.0727,4.7469,8.0292,12.7689,15.874,17.3673,109.9678,8.1517,250.7521,133.4116,2.5911,0.0314,3.1962,0.0739,0.1649,0.2231,16045.0,1645.0,6597.1685,84.1881,0.2663,45155.9336,151.0835,152.7844
20601,10500.5,86.0744,51.9239,26.1639,91.3453,1.9041,4.3889,7.4224,10.8592,18.349,21.0952,101.1467,8.1566,250.571,133.313,2.5973,0.0227,3.4445,0.07,0.1681,0.2316,16180.0,1666.6666,6482.7817,81.4935,0.2467,45113.8398,146.9152,150.0841
20602,10501.0,82.9263,49.9843,25.2716,88.2412,1.828,4.2593,7.1692,10.2028,19.5273,23.2161,93.4532,8.1358,250.39,133.2144,2.6114,0.0119,3.837,0.0613,0.1614,0.2248,17440.0,1705.0,6440.5083,79.5764,0.2327,45073.0938,142.5462,144.1159
20603,10501.5,84.8082,51.4253,25.7965,90.3113,1.8926,4.3293,7.3182,12.7605,22.9705,26.8798,94.2591,8.1379,250.2095,133.1164,2.6331,0.0085,4.0176,0.0477,0.1567,0.2243,17040.0,1740.0,6477.7251,78.7975,0.2271,45033.3047,140.1466,139.9508
20604,10502.0,88.6887,53.7619,26.6844,94.6781,1.9952,4.5554,7.57,16.6924,23.7638,30.5072,98.4552,8.1369,250.0289,133.0183,2.6236,0.0055,3.784,0.0537,0.1571,0.2213,16346.667,1500.0,6545.1812,78.6723,0.2261,44993.9063,138.8109,138.694
20605,10502.5,90.5866,54.4599,26.8177,96.9844,2.0336,4.7344,7.6078,21.7027,23.1229,31.7291,99.6198,8.1294,249.8484,132.9203,2.581,0.0016,3.5242,0.0801,0.1685,0.2258,15560.0,1753.3334,6722.2153,78.9044,0.2278,44954.5703,138.0835,138.5827
20606,10503.0,90.2142,53.5023,26.2147,96.7229,2.0055,4.8119,7.4368,40.0276,25.4433,41.2009,100.1004,8.1251,249.6682,132.8226,2.557,0.0033,3.3895,0.095,0.1705,0.2194,16053.333,1560.0,6716.6797,79.1366,0.2295,44915.1172,137.8031,138.0084
20607,10503.5,87.1311,51.1819,25.0378,93.5024,1.9209,4.7117,7.1029,146.3155,25.5644,39.756,101.8084,8.1349,249.488,132.7249,2.5602,0.0068,3.4061,0.0931,0.16,0.2013,16186.667,1806.6666,6703.8135,78.8856,0.2277,44875.5508,137.357,136.0251
20608,10504.0,82.3155,47.9357,23.3785,88.5128,1.8032,4.5176,6.6322,51.6918,25.224,38.8232,100.7474,8.1247,249.3075,132.6269,2.5744,0.0101,3.8265,0.0842,0.1574,0.2024,16566.666,1886.6666,6553.6191,78.2145,0.2228,44836.1094,135.9468,134.0337
20609,10504.5,81.9438,46.8484,22.423,88.1438,1.7872,4.5976,6.3611,24.3794,27.226,38.3008,90.31,8.1141,249.1276,132.5295,2.5957,0.0146,4.3239,0.071,0.156,0.2084,18385.0,1845.0,6509.6782,77.7622,0.2195,44797.0039,134.6201,133.568
