,DEPT,GRUR,GRTH,GAMMAKT,POTA,URAN,THOR,LLS,LLD,NPHI,GR,MSFL,CALI,BHVT,AHVT,RHOB,DRHO,PE,DPE,QN,QF,DPHI,TENS,MNDT,DXDT,DYDT,SPHI,ITTT,XPHI
13800,7089.5,14.6203,0.1568,7.2468,0.5068,1.6277,0.0445,360.7143,701.1443,0.0137,27.9616,146.242,8.1109,1336.0642,702.3883,2.6787,0.004,5.0492,-0.0062,-0.2694,-0.0291,0.0183,4635.8794,51.0595,96.6872,94.9704,0.0245,256736.375,0.018
13801,7090.0,15.974,0.1574,6.4539,0.45,1.7785,0.0447,352.9894,712.4186,0.0155,25.9479,114.6889,8.1231,1335.885,702.2916,2.6842,0.0032,4.927,-0.0076,-0.3951,0.0864,0.0151,4657.5342,50.8229,96.1479,94.8922,0.0228,256698.0781,0.0183
13802,7090.5,21.063,0.2636,4.0631,0.2716,2.345,0.0748,357.7672,758.4291,0.018,26.3133,122.6667,8.1074,1335.7053,702.1944,2.6825,0.0019,4.8599,-0.0076,-0.2084,-0.1414,0.0161,4649.1875,50.8229,96.1479,94.8922,0.0228,256698.0781,0.0205
13803,7091.0,26.3994,0.3065,1.2351,0.0664,2.9391,0.087,383.3151,842.2028,0.0192,25.202,176.1386,8.1058,1335.526,702.0975,2.6837,0.0026,4.841,-0.0098,-0.1054,-0.0853,0.0154,4664.4556,50.5478,95.4509,94.7523,0.0208,256659.9531,0.0211
13804,7091.5,33.7115,0.3265,0.9328,0.0433,3.7532,0.0926,438.7634,1001.571,0.0198,23.6432,165.2021,8.1137,1335.3467,702.0008,2.6912,0.0047,4.8509,-0.0096,-0.1764,0.2588,0.011,4654.1948,50.5478,95.4509,94.7523,0.0208,256659.9531,0.0202
13805,7092.0,33.7816,0.3337,0.9466,0.0438,3.761,0.0947,540.0073,1228.9808,0.0178,24.4636,236.9167,8.1096,1335.1674,701.904,2.6939,0.0072,4.9098,-0.0074,0.0173,0.2206,0.0094,4675.6431,50.4529,94.8623,94.4965,0.0202,256609.4063,0.0183
13806,7092.5,32.5553,0.3263,0.9228,0.0426,3.6245,0.0926,673.8774,1553.8582,0.0136,25.6943,252.113,8.1084,1334.9879,701.8071,2.6962,0.0075,4.9824,-0.0073,0.4548,0.0955,0.0081,4687.7432,50.5716,94.5589,94.3716,0.021,256571.5625,0.015
13807,7093.0,27.2847,0.6961,1.3175,0.0444,3.0377,0.1975,809.2776,1780.2076,0.0115,26.2164,324.3315,8.1064,1334.8087,701.7104,2.6994,0.0072,4.9954,-0.0112,0.499,0.0062,0.0062,4671.2183,50.5716,94.5589,94.3716,0.021,256571.5625,0.013
13808,7093.5,23.8918,0.6975,1.3191,0.0444,2.66,0.1979,830.4067,1752.2372,0.0102,23.8744,444.3268,8.1064,1334.6294,701.6136,2.6927,0.0074,4.9286,-0.0118,0.1074,-0.0059,0.0101,4686.3784,50.9238,94.5557,94.5868,0.0235,256520.9844,0.0131
13809,7094.0,22.6746,0.6484,1.2778,0.045,2.5244,0.184,756.9931,1485.2719,0.0098,22.4722,418.9893,8.1044,1334.4502,701.517,2.6868,0.0059,4.8375,-0.002,-0.2111,0.1382,0.0135,4670.4878,50.9238,94.5557,94.5868,0.0235,256520.9844,0.0139
13810,7094.5,18.687,1.5376,2.9731,0.1026,2.0805,0.4363,585.3273,1062.3669,0.0114,23.4493,280.3384,8.1128,1334.271,701.4203,2.6914,0.0027,4.8215,0.0016,-0.1841,0.3975,0.0109,4690.2661,51.5764,94.7966,95.1408,0.0281,256482.8125,0.0142
13811,7095.0,12.9074,3.3525,7.7516,0.3144,1.437,0.9513,453.1473,797.1592,0.0124,23.1808,294.4263,8.102,1334.0917,701.3234,2.6875,-0.0019,4.8822,-0.0002,0.0886,0.3241,0.0132,4662.9204,52.271,95.0871,95.851,0.033,256444.0938,0.0156
13812,7095.5,11.3969,4.4256,9.2343,0.3437,1.2689,1.2558,397.7192,636.5954,0.0151,22.5095,203.65,8.1255,1333.9125,701.2266,2.6754,-0.0051,4.9703,-0.0,0.2939,-0.1849,0.0203,4696.0903,52.271,95.0871,95.851,0.033,256444.0938,0.0196
13813,7096.0,13.0088,3.297,7.2331,0.2813,1.4483,0.9356,355.1495,516.2761,0.0166,23.3971,198.9144,8.123,1333.7324,701.129,2.6631,-0.0085,5.0671,-0.0009,0.2476,-0.3783,0.0274,4696.2734,52.6387,95.223,96.5812,0.0356,256391.8594,0.0229
13814,7096.5,16.4574,2.3928,4.4075,0.144,1.8323,0.679,325.8406,428.5648,0.0197,23.9192,223.7408,8.119,1333.5527,701.0318,2.6684,-0.012,5.1216,-0.0019,-0.0036,-0.0616,0.0243,4692.2642,52.6387,95.223,96.5812,0.0356,256391.8594,0.0241
13815,7097.0,20.0044,0.3068,1.0671,0.0543,2.2272,0.0871,281.8984,354.7405,0.0203,22.1888,151.6539,8.1117,1333.3732,700.9347,2.691,-0.0096,5.104,0.0003,-0.2691,-0.1249,0.0111,4685.5859,52.6771,95.2259,96.9366,0.0359,256352.3594,0.0206
